V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,subject,subj,Q1,rfq1,rfq2,rfq3,rfq4,rfq5,rfq6,rfq7,rfq8,rfq9,rfq10,rfq11,se1,se2,se3,se4,se5,se6,se7,se8,se9,se10,rmq1,rmq2,rmq3,rmq4,rmq5,rmq6,rmq7,rmq8,rmq9,rmq10,rmq11,rmq12,rmq13,rmq14,rmq15,rmq16,rmq17,rmq18,rmq19,rmq20,rmq21,rmq22,rmq23,rmq24,rmq25,rmq26,rmq27,rmq28,rmq29,rmq30,attchk,Q6,age,gender,gender_TEXT,hispanic,race,race_TEXT,relstat,relstat_TEXT,Q12,Q13,Q17,LocationLatitude,LocationLongitude,LocationAccuracy
R_2rBcsZxUBmXwhN6,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 13:26,9/30/16 13:44,1,1,211,211,1,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,,,,,,,,,,,1,40.80059814,-73.96530151,-1
R_3DiRdeoGSDIojn3,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 13:44,9/30/16 13:58,1,1,212,212,1,2,2,2,1,1,1,4,2,2,3,1,5,1,6,6,2,2,6,5,1,7,5,3,3,5,6,5,3,5,3,5,4,2,5,3,3,5,5,4,2,5,5,2,3,2,5,2,2,5,5,5,3,1,24,2,,0,2,,1,,Self-evalation and relationships?,No,1,40.80059814,-73.96530151,-1
R_3jThTaX0hCUNbba,Default Response Set,Anonymous,,,128.59.230.241,0,9/30/16 14:03,9/30/16 14:14,1,1,213,213,1,2,3,4,1,1,1,4,3,4,4,3,3,6,6,5,6,5,5,3,2,6,6,6,5,6,6,2,5,6,5,5,5,3,3,1,6,5,3,2,5,3,2,3,6,2,3,5,5,5,5,2,3,1,24,2,,0,2,,1,,Not really. I am thinking this test was investigating if a person who is ambitious is also critical about himself or others. ,confusing - there was no agree button between somewhat agree and strongly agree. don't know why! I completed all the parts properly. ,1,40.80059814,-73.96530151,-1
R_2fEbXXijJGw5Yev,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 16:03,10/4/16 16:43,1,1,219,99847,1,2,3,4,4,2,3,3,4,2,4,3,6,3,5,6,2,5,2,5,2,5,5,1,6,6,4,5,3,5,5,2,6,1,5,3,5,6,2,3,6,5,5,3,2,2,5,1,2,6,5,6,3,1,21,2,,0,5,,1,,People's perceptions of their own personality dependig on whether the question is phrased negatively or positively,"It was sometimes confusing to see the same question twice but phrased in a different way (for example, if the subject evaluates their interactions with people post-interaction), which required a little more focus, but overall the questions were straightforward. One part is missing ""agree"" and goes straight from ""somewhat agree"" to ""strongly agree""",1,40.80059814,-73.96530151,-1
R_308K7ZTPOAYykqE,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 16:44,10/4/16 16:53,1,1,220,97741,1,1,1,2,1,4,2,4,2,2,4,2,6,2,6,6,2,4,6,4,2,6,5,3,4,5,5,4,3,6,2,3,5,1,3,3,5,4,3,3,4,5,5,2,2,2,5,2,2,6,6,5,3,1,26,2,,0,2,,2,,I have no ideas.,Why some part omit the agree level and only has strongly agree and partly agree?,1,40.80059814,-73.96530151,-1
R_1hALPZRZlhrMXMc,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 16:59,10/4/16 17:09,1,1,221,96043,1,3,2,2,2,4,2,2,2,4,4,2,3,6,7,5,2,6,6,7,6,2,5,3,3,5,3,4,5,3,6,5,5,3,4,6,5,4,4,6,5,6,3,4,3,6,5,3,3,5,5,4,3,1,30,1,,0,2,,3,,No,No,1,40.80059814,-73.96530151,-1
R_2b47qlogYgawhL1,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 17:19,10/4/16 17:30,1,1,222,109057,1,2,2,3,2,2,2,3,2,2,3,2,4,3,5,5,3,4,6,5,2,5,5,3,4,5,5,5,3,5,6,5,5,2,4,2,5,5,4,3,5,5,5,4,2,3,5,5,2,5,5,5,3,1,26,1,,0,2,,1,,No,The questions were well designed and were pretty clear.,1,40.80059814,-73.96530151,-1
R_1OvO84zftbmpqFq,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 17:34,10/4/16 17:40,1,1,223,79636,1,2,1,3,1,5,1,3,2,2,4,2,6,2,6,5,2,2,5,2,2,6,5,3,5,5,5,4,3,5,5,4,5,2,3,3,2,5,5,3,3,5,5,4,3,2,5,3,3,5,5,5,3,1,31,1,,0,4,,1,,no,no,1,40.80059814,-73.96530151,-1
R_12KHhuc2hGmslyu,Default Response Set,Anonymous,,,128.59.230.56,0,10/4/16 17:54,10/4/16 18:05,0,1,224,77323,1,1,2,5,2,4,2,4,4,2,4,1,6,2,6,6,2,2,6,2,2,6,6,2,5,6,6,2,5,5,2,2,5,2,5,2,5,3,2,2,5,3,5,5,3,2,3,3,2,5,5,3,3,1,21,2,,0,5,,6,in long term relationship,"something to do with the absence of the ""agree"" button?","the ""agree"" button was missing on some of the surveys, it made me feel weird when I wanted to click ""agree"" I had to choose between ""somewhat agree"" or ""strongly agree""",,,,-1
R_Y4SK0MXUy4ji9Hz,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 12:00,10/5/16 12:29,1,1,226,71080,1,2,3,3,4,4,4,4,4,1,3,2,6,5,7,7,1,2,7,2,2,6,4,1,5,6,5,2,4,5,5,5,6,2,5,1,5,6,3,2,5,5,2,3,1,2,5,1,1,5,6,6,3,1,21,2,,0,4,,1,,Something about how who you are / who you think you are affects decisions you make?,Well... the questions were kind of a lot and some of them seemed reduundant ,1,40.80059814,-73.96530151,-1
R_XFmubIDTvpKmMGl,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 12:29,10/5/16 12:37,1,1,228,78412,1,1,2,2,1,4,2,3,2,2,2,4,6,4,6,6,3,5,6,3,2,6,3,4,2,5,5,1,2,5,3,6,5,2,6,5,6,2,2,6,5,5,3,3,4,2,5,2,5,4,4,5,3,1,22,2,,0,2,,1,,hypotheses relating to self-worth and ambition,It was not difficult and I don't think I completed anything incorrectly,1,40.80059814,-73.96530151,-1
R_1IAXnV3XSOaHXQu,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 12:38,10/5/16 13:14,1,1,229,96028,1,3,1,3,1,4,1,4,3,2,3,2,4,5,6,6,3,5,6,5,3,4,5,2,4,5,4,5,5,4,5,3,6,1,4,3,5,4,4,3,6,4,4,5,1,4,4,1,3,6,4,4,3,1,33,1,,0,5,,1,,"Not yet. Just various measures of introspection, work ethic and self-esteem, I guess.","No, I'm familiar with these measures and they tend to not cause me much confusion.",1,40.80059814,-73.96530151,-1
R_1f1o8EogjXlrMZi,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 13:14,10/5/16 14:01,0,1,232,105400,1,2,2,4,2,4,3,4,2,2,4,4,7,6,7,7,4,3,6,4,2,6,5,5,4,5,6,2,2,5,4,5,4,1,6,3,5,6,2,2,4,5,4,2,2,3,5,4,3,5,5,5,3,1,35,1,,0,4,,1,,Yes. Testing people's personalities and altitutes,It was very interesting,,,,-1
R_Wj39FNLx95NwWxX,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 16:20,10/5/16 16:44,1,1,234,234,1,2,2,4,1,5,2,4,2,2,4,3,6,2,5,4,3,1,5,3,1,6,5,2,4,5,4,6,6,4,5,5,6,2,5,1,5,5,2,2,5,5,5,5,3,5,5,2,6,5,4,4,3,1,23,1,,0,2,,6,In a relationship,no,I felt I did a good job at the study and have answered to the best of my ability,1,40.80059814,-73.96530151,-1
R_3hijbRSDMqUnufk,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 16:44,10/5/16 16:58,1,1,235,235,1,2,2,4,2,5,2,4,2,5,5,1,7,3,7,7,1,2,7,1,1,7,6,2,6,6,6,4,4,6,4,4,4,1,1,3,4,6,5,2,5,3,6,1,3,1,6,1,1,6,6,4,3,1,34,2,,0,5,,6,In a relationship,"I am not an expert in this field, but based on the questions presented I would assume that it is has bihevioral and emotional decision making background",I enjoyed answering those questions. It was interesting to step back and asses behavior that I often do not register ,1,40.80059814,-73.96530151,-1
R_2rURtkiNtj7NR3L,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 17:02,10/5/16 17:13,1,1,236,236,1,1,1,4,1,5,1,5,2,2,5,1,7,1,7,7,1,1,7,2,1,7,6,3,3,6,5,3,5,6,5,3,5,1,2,2,5,6,2,2,5,5,5,2,2,2,3,1,3,6,5,3,3,1,20,2,,0,6,,1,,Not really... somehow relating confidence and judgmental tendencies?,All straighforward,1,40.80059814,-73.96530151,-1
R_3UvL6ipS1BoWWBz,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 17:13,10/5/16 17:22,1,1,237,237,1,2,1,3,3,5,3,3,3,3,4,3,6,3,6,3,3,6,5,5,3,5,5,1,6,6,5,5,6,6,6,1,6,3,1,2,6,6,2,1,6,6,6,6,1,3,6,2,1,5,5,5,1,1,27,2,,0,6,,3,,Something about self-perception and maybe something about willingness to follow instructions.,"I am not sure I would usually defy instructions such as ""check somewhat disagree."" I actually checked it and then changed it, thinking to myself ""Ah-ha! Liberation!"" ",1,40.80059814,-73.96530151,-1
R_1mz70ET7RyZP6UW,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 17:26,10/5/16 17:47,1,1,238,238,1,3,2,3,2,3,1,3,4,2,3,2,6,2,6,4,5,2,5,1,1,5,5,5,5,6,6,4,3,5,5,3,2,1,4,3,6,5,4,3,4,3,5,2,6,2,5,2,5,5,5,5,3,1,21,1,,0,2,,1,,Self assessment ,No.,1,40.80059814,-73.96530151,-1
R_2hnmPe8TGIGCe0F,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 17:47,10/5/16 17:58,1,1,239,239,1,4,2,2,5,4,5,2,2,4,2,4,5,5,5,3,5,5,5,6,3,5,5,2,3,5,5,5,5,2,3,3,5,3,3,1,5,5,1,2,6,5,5,5,1,5,5,1,2,5,3,5,3,1,61,1,,0,5,,1,,Not really; I imagine you're looking at what goes into people's decision making.,"No comments; I've been asked straight forward questions, that I answered, utilizing the best of my knowledge, in all cases. ",1,40.80059814,-73.96530151,-1
R_2qDYONdhVJIk3bf,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 18:03,10/5/16 18:16,1,1,240,107521,1,1,5,4,5,4,5,2,4,3,1,1,3,6,4,5,2,6,5,6,3,4,5,1,6,5,5,6,4,5,6,3,6,2,5,1,5,5,1,2,6,3,1,3,1,2,3,1,2,6,3,5,3,1,18,2,,0,2,,1,,How our perception of ourselves determines our relationship status,"I answered mostly on instinct, so I probably answered similar questions with different answers",1,40.80059814,-73.96530151,-1
R_tWZQw5u7OJ73jSV,Default Response Set,Anonymous,,,128.59.230.15,0,10/5/16 18:16,10/5/16 18:28,1,1,241,241,1,2,2,2,2,4,2,3,3,3,4,2,6,6,5,6,3,5,5,5,2,6,6,5,5,6,5,4,6,4,6,1,5,1,6,2,6,6,5,2,5,6,6,2,2,6,5,5,1,5,6,6,5,1,27,1,,0,2,,1,,I have no idea,I can not understand some of the professional words,1,40.80059814,-73.96530151,-1
R_2R1W8zjzq7p1ZHo,Default Response Set,Anonymous,,,128.59.230.15,0,10/6/16 11:37,10/6/16 12:03,1,1,242,242,1,2,4,4,3,4,2,2,4,4,3,2,5,3,5,6,2,4,5,6,3,4,6,1,5,5,4,5,5,6,6,2,5,1,5,6,6,5,3,2,4,6,5,2,3,4,5,1,1,5,5,4,3,1,20,2,,0,5,,6,dating someone..?,Self-confidence in people depending upon age/marital status/gender?,It was fairly straightforward; nothing was too confusing.,1,40.80059814,-73.96530151,-1
R_3PgZ1M4r8sBTyRU,Default Response Set,Anonymous,,,128.59.230.15,0,10/6/16 12:07,10/6/16 12:36,1,1,243,243,1,3,1,4,1,5,1,4,2,2,2,3,2,5,2,1,5,5,5,6,4,4,6,1,5,5,5,4,4,5,5,6,4,1,5,5,5,5,4,3,4,3,5,1,2,4,5,2,2,6,5,4,3,1,23,2,,0,2,,1,,no idea,There was question which said select strongly disagree which was bit confusing. ,1,40.80059814,-73.96530151,-1
R_3p9BkLyguvHQO6W,Default Response Set,Anonymous,,,128.59.230.15,0,10/6/16 12:41,10/6/16 12:52,1,1,244,244,1,2,4,4,5,3,4,4,4,2,4,2,5,5,5,6,3,5,5,7,4,4,6,3,3,5,6,5,4,5,6,5,5,1,4,1,5,1,2,1,5,5,3,5,1,6,6,1,4,3,5,3,3,1,24,2,,0,6,,1,,Self perception,"Too many similar questions (Are you a go getter, are you ""low energy"", etc). Kind of dragged out because of number of questions. ",1,40.80059814,-73.96530151,-1
R_1oBG5UWWecfpeov,Default Response Set,Anonymous,,,128.59.230.15,0,10/6/16 12:56,10/6/16 13:04,1,1,245,245,1,2,1,1,1,3,2,2,2,4,3,2,6,4,5,5,5,4,5,3,4,7,4,5,3,3,3,3,4,5,5,5,4,5,4,4,4,4,2,4,6,5,5,3,2,4,4,4,3,4,5,5,3,1,22,2,,0,,,1,,Not at all,"No, but the computer was hard to use. ",1,40.80059814,-73.96530151,-1
R_12zs5jgRcSpp5gS,Default Response Set,Anonymous,,,128.59.230.15,0,10/6/16 13:07,10/7/16 11:07,1,1,246,246,1,2,2,3,2,4,2,4,2,2,4,2,6,2,6,6,2,2,6,3,1,7,5,2,4,5,5,5,5,5,4,3,4,1,5,5,5,6,4,5,4,5,5,2,4,2,5,5,2,5,5,3,3,1,22,1,,0,2,,1,,Personality traits. This is a survey to know about hoe people think about themselves and how that affects their work,"It was good. Since I was giving answers to the questions, I was thinking a lot about myself. This really helps.",1,40.80059814,-73.96530151,-1
R_1i9CgWToAT2shz0,Default Response Set,Anonymous,,,128.59.230.15,0,10/7/16 12:42,10/7/16 13:20,1,1,247,247,1,3,2,2,4,4,3,3,3,3,3,2,4,6,5,5,3,5,5,6,5,4,4,3,4,6,5,5,5,4,5,5,5,1,3,3,5,5,4,3,5,4,4,5,1,4,2,2,2,3,3,5,3,1,18,2,,0,2,,6,In a Relationship,You are possibly investigating how someone feels about themselves and perceives their motivations compared to how they acted in line with their parents wishes.,N/A,1,40.80059814,-73.96530151,-1
R_3PLXPwgyjlgxHBW,Default Response Set,Anonymous,,,128.59.230.15,0,10/7/16 13:20,10/7/16 13:36,1,1,248,248,1,2,3,4,3,4,2,4,2,2,3,2,6,5,7,5,3,5,6,5,3,6,3,2,2,4,4,6,5,4,6,4,6,1,5,2,5,5,3,2,4,4,3,2,2,5,3,1,2,2,3,3,3,1,21,1,,0,5,,1,,,"The lack of ""agree"" button on the final page made me have to think harder about how much I agreed with some of the statements.",1,40.80059814,-73.96530151,-1
R_10v0oU8nkZkVrzh,Default Response Set,Anonymous,,,128.59.230.15,0,10/7/16 13:40,10/7/16 14:03,1,1,249,249,1,2,2,4,2,4,1,3,1,2,4,1,5,5,7,7,3,5,7,5,2,4,6,2,6,6,5,4,2,6,5,6,6,2,1,3,5,4,3,2,3,5,6,1,3,3,5,1,3,6,5,2,3,1,19,2,,0,5,,1,,I have no idea,"Nothing was particularly confusing or interesting, but evaluating myself is always a little awkward because I try to be honest. I think I completed everything correctly.",1,40.80059814,-73.96530151,-1
R_2uyrn7SUxqeVLL9,Default Response Set,Anonymous,,,128.59.230.15,0,10/7/16 14:04,10/7/16 14:14,1,1,250,250,1,2,2,3,2,4,2,4,2,2,4,2,6,1,6,6,2,2,7,4,2,7,6,3,4,6,4,4,3,5,4,4,2,1,5,4,2,3,4,3,3,5,4,2,2,2,3,5,3,5,5,2,3,1,24,2,,0,2,,1,,"To assess people's personality, like the enthusiasm to work and to themselves, how critical they are.","there is no choice of ""agree"", only ""somewhat agree"" and ""strongly agree"", so sometimes it may not be accurate to show my feelings",1,40.80059814,-73.96530151,-1
R_23f4PL8g1BAGfuT,Default Response Set,Anonymous,,,128.59.230.15,0,10/7/16 14:19,10/7/16 15:06,1,1,251,251,1,2,2,4,2,1,2,4,2,2,5,2,7,5,6,7,6,5,6,5,2,6,3,3,5,6,5,2,5,4,3,5,5,2,6,3,3,5,5,2,5,6,5,3,4,4,5,4,5,6,5,5,3,1,23,1,,0,2,,1,,the relation between race and personality.,,1,40.80059814,-73.96530151,-1
R_2DOYVVehG44FPCW,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 10:46,10/10/16 11:10,1,1,252,106642,1,1,3,5,2,4,2,3,2,2,4,5,7,7,7,7,3,7,7,3,2,7,6,1,4,6,6,5,4,6,5,4,5,1,6,1,6,6,1,2,4,6,5,1,1,1,6,1,1,3,6,4,3,1,18,2,,0,6,,1,,I am not quite sure about the hypotheses being investigated.,"I do not have any comments in particular. However, I do want to know my personality type.",1,40.80059814,-73.96530151,-1
R_3oNKgEhP8EHzYgS,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 11:27,10/10/16 11:38,1,1,253,109018,1,2,4,3,1,4,2,3,2,2,3,3,5,5,5,5,3,3,6,3,2,5,5,2,5,5,4,5,5,3,5,3,5,2,2,3,5,5,4,2,5,5,5,3,5,5,5,4,2,5,3,5,3,1,29,2,,0,5,,6,dating,No,No,1,40.80059814,-73.96530151,-1
R_C7WI0MQXVyng4Ex,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 11:47,10/10/16 11:55,1,1,254,109261,1,3,1,2,1,4,1,2,2,2,4,2,5,2,5,6,3,4,6,4,2,3,6,3,4,5,6,5,4,5,6,3,5,1,6,3,5,5,2,2,5,5,5,4,3,5,5,3,2,5,5,5,3,1,,2,,0,2,,3,,"personality and attitudes towards self, others, and things",,1,40.80059814,-73.96530151,-1
R_2wGDsS5KA8hQzwU,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 12:02,10/10/16 12:09,1,1,255,106570,1,1,2,4,2,4,2,5,2,1,5,2,7,1,7,7,1,1,7,1,1,7,6,3,6,6,5,6,5,6,5,5,5,1,5,2,5,6,5,2,6,6,6,4,2,2,6,2,1,6,6,4,3,1,23,2,,0,5,,1,,How one's perception of himself/herself affects their ability to reach goals,no comments,1,40.80059814,-73.96530151,-1
R_UQqcyPtROqxgG5z,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 12:13,10/10/16 12:21,1,1,256,108139,1,4,2,4,4,2,3,4,2,1,5,1,7,6,7,6,1,5,5,2,1,5,5,1,2,5,5,3,6,5,4,2,5,1,1,1,5,6,4,2,3,5,5,2,1,4,5,3,1,6,6,5,3,1,33,2,,1,6,,4,,how consistently we answered questions about our perceptions of ourselves,"I think I'm pretty self aware and the negative aspects I noticed here are things already known to me, but it was nice that i've actively taken steps to improve them. I may think judgy things in my head, but I no longer share them for example",1,40.80059814,-73.96530151,-1
R_1LfjOxIhGdEJh6x,Default Response Set,Anonymous,,,128.59.230.15,0,10/10/16 12:30,10/10/16 12:40,1,1,257,105145,1,1,1,2,1,4,2,5,2,2,4,1,3,2,6,6,2,2,3,4,2,6,5,4,5,6,4,5,3,5,3,3,4,1,5,2,5,5,4,3,3,6,3,2,2,2,3,4,2,5,4,5,3,1,22,2,,0,2,,1,,No,No,1,40.80059814,-73.96530151,-1
R_1f9gFtcoBoQuCam,Default Response Set,Anonymous,,,128.59.230.227,0,10/17/16 11:24,10/17/16 12:21,1,1,262,106156,1,2,2,4,3,4,2,4,2,2,4,4,6,3,6,7,2,3,7,4,2,5,5,2,5,6,6,6,5,5,5,3,5,1,5,5,5,5,3,3,5,5,5,3,2,4,5,1,2,5,5,5,3,1,17,2,,0,2,,1,,How people take decisions based on their personality,It was interesting that many questions were repeated in a rephrased manner but they were asking the same thing. No. ,1,40.80059814,-73.96530151,-1
R_AdIaaV1ZN93oCnn,Default Response Set,Anonymous,,,128.59.230.241,0,10/18/16 13:26,10/18/16 13:53,1,1,263,92986,1,2,2,4,1,4,1,4,1,1,4,2,5,2,6,6,2,2,6,6,2,5,5,3,4,5,5,5,5,5,5,4,5,4,3,4,5,4,5,3,5,5,5,4,3,3,5,3,1,5,5,5,3,1,41,2,,0,5,,1,,social attitudes and self persection.,It is OK.,1,40.80059814,-73.96530151,-1
R_2Vz2QqGSVMHdpFP,Default Response Set,Anonymous,,,128.59.230.241,0,10/18/16 13:53,10/18/16 13:57,1,1,264,109021,1,3,1,4,2,4,2,4,3,3,4,2,5,5,5,5,5,3,4,6,3,4,5,5,3,6,6,6,6,5,5,5,5,5,5,5,2,5,2,2,4,5,5,4,2,1,3,4,3,5,5,5,5,1,18,2,,,5,,1,,How personality affects one's efficacy to complete their tasks. ,I thought the study was fine. The questions were similar to studies I have taken in the past.,1,40.80059814,-73.96530151,-1
R_scI7DNOVlBLSfYJ,Default Response Set,Anonymous,,,128.59.230.241,0,10/18/16 14:01,10/18/16 14:11,1,1,265,102472,1,2,2,3,1,4,2,4,2,2,3,3,5,5,6,5,5,6,5,6,4,3,4,3,3,6,5,5,5,3,5,4,4,2,5,6,5,3,2,5,3,5,3,2,2,4,6,1,3,5,4,5,3,1,22,1,,0,2,,1,,It seems like the purpose was to get a general demographic survey of people's choices and attitudes,Some of the questions made me think. Like the questions about my parents had me thinking back a bit.,1,40.80059814,-73.96530151,-1
